  00 modrm               # ADD rm8, r8
  01 modrm               # ADD rm32, r32
  02 modrm               # ADD r8, rm8
  03 modrm               # ADD r32, rm32
  04 byte                # ADD al, imm8
  05 vord                # ADD eax, imm32
  06                     # PUSH ES
  07                     # POP ES
  08 modrm               # OR rm8, r8
  09 modrm               # OR rm32, r32
  0A modrm               # OR r8, rm8
  0B modrm               # OR r32, rm32
  0C byte                # OR al, imm8
  0D vord                # OR eax, imm32
  0E                     # PUSH CS
  0F prefix              # 2-byte escape
  10 modrm               # ADC rm8, r8
  11 modrm               # ADC rm32, r32
  12 modrm               # ADC r8, rm8
  13 modrm               # ADC r32, rm32
  14 byte                # ADC al, imm8
  15 vord                # ADC eax, imm32
  16                     # PUSH SS
  17                     # POP SS
  18 modrm               # SBB rm8, r8
  19 modrm               # SBB rm32, r32
  1A modrm               # SBB r8, rm8
  1B modrm               # SBB r32, rm32
  1C byte                # SBB al, imm8
  1D vord                # SBB eax, imm32
  1E                     # PUSH DS
  1F                     # POP DS
  20 modrm               # AND rm8, r8
  21 modrm               # AND rm32, r32
  22 modrm               # AND r8, rm8
  23 modrm               # AND r32, rm32
  24 byte                # AND al, imm8
  25 vord                # AND eax, imm32
  26 prefix              # ES prefix
  27                     # DAA
  28 modrm               # SUB rm8, r8
  29 modrm               # SUB rm32, r32
  2A modrm               # SUB r8, rm8
  2B modrm               # SUB r32, rm32
  2C byte                # SUB al, imm8
  2D vord                # SUB eax, imm32
  2E prefix              # CS prefix
  2F                     # DAS
  30 modrm               # XOR rm8, r8
  31 modrm               # XOR rm32, r32
  32 modrm               # XOR r8, rm8
  33 modrm               # XOR r32, rm32
  34 byte                # XOR al, imm8
  35 vord                # XOR eax, imm32
  36 prefix              # SS prefix
  37                     # AAA
  38 modrm               # CMP rm8, r8
  39 modrm               # CMP rm32, r32
  3A modrm               # CMP r8, rm8
  3B modrm               # CMP r32, rm32
  3C byte                # CMP al, imm8
  3D vord                # CMP eax, imm32
  3E prefix              # DS prefix
  3F                     # AAS
  40                     # INC eax
  41                     # INC ecx
  42                     # INC edx
  43                     # INC ebx
  44                     # INC esp
  45                     # INC ebp
  46                     # INC esi
  47                     # INC edi
  48                     # DEC eax
  49                     # DEC ecx
  4A                     # DEC edx
  4B                     # DEC ebx
  4C                     # DEC esp
  4D                     # DEC ebp
  4E                     # DEC esi
  4F                     # DEC edi
  50                     # PUSH eax
  51                     # PUSH ecx
  52                     # PUSH edx
  53                     # PUSH ebx
  54                     # PUSH esp
  55                     # PUSH ebp
  56                     # PUSH esi
  57                     # PUSH edi
  58                     # POP eax
  59                     # POP ecx
  5A                     # POP edx
  5B                     # POP ebx
  5C                     # POP esp
  5D                     # POP ebp
  5E                     # POP esi
  5F                     # POP edi
  60                     # PUSHAD
  61                     # POPAD
  62 modrm               # BOUND
  63 modrm               # ARPL
  64 prefix              # FS prefix
  65 prefix              # GS prefix
  66 prefix              # Operand-size prefix
  67 prefix              # Address-size prefix
  68 vord                # PUSH i32
  69 modrm vord          # IMUL i32
  6A byte                # PUSH i8
  6B modrm byte          # IMUL i8
  6C                     # INSB
  6D                     # INSD
  6E                     # OUTSB
  6F                     # OUTSD
  70 byte                # JO
  71 byte                # JNO
  72 byte                # JB/JNAE/JC
  73 byte                # JNB/JAE/JNC
  74 byte                # JZ/JE
  75 byte                # JNZ/JNE
  76 byte                # JBE/JNA
  77 byte                # JNBE/JA
  78 byte                # JS
  79 byte                # JNS
  7A byte                # JP/JPE
  7B byte                # JNP/JPO
  7C byte                # JL/JNGE
